Polyglot,,
MOD_META_imagecoverexpander_NAME,mod name of imagecoverexpander,ImageCoverExpander
MOD_META_imagecoverexpander_DESC,mod description of imagecoverexpander,Expands the song artwork to cover the right side of the level select.
MOD_META_imager_NAME,mod name of imager,Imager
MOD_META_imager_DESC,mod description of imager,Create images & move them around | .jpg / .png / .gif files are all supported. You can either put them in: ModData/com.beatgames.beatsaber/Mods/Imager/Images or you can use the mod’s download feature!
MOD_META_IntroSkip_NAME,mod name of IntroSkip,Intro Skip
MOD_META_IntroSkip_DESC,mod description of IntroSkip,Skip the intro and outro of maps
MOD_META_jdfixer_NAME,mod name of jdfixer,JDFixer
MOD_META_jdfixer_DESC,mod description of jdfixer,"Configure your Jump Distance, Speed, and more with ultra precision!"
MOD_META_lapiz_NAME,mod name of lapiz,Lapiz
MOD_META_lapiz_DESC,mod description of lapiz,Lapiz makes modders' lives easier by exposing utilities to them cleanly. This mod does nothing on its own.
MOD_META_MappingExtensions_NAME,mod name of MappingExtensions,Mapping Extensions
MOD_META_MappingExtensions_DESC,mod description of MappingExtensions,"This adds a host of new things you can do with your maps as a mapper, and allows you to play said maps as a player. An update of the port of the PC original mod by Kyle 1413. Previously maintained by zoller27osu."
MOD_META_menuvisualizers_NAME,mod name of menuvisualizers,MenuVisualizer
MOD_META_menuvisualizers_DESC,mod description of menuvisualizers,Adds a visualizer to the menu
MOD_META_metacore_NAME,mod name of metacore,MetaCore
MOD_META_metacore_DESC,mod description of metacore,Provides way too many utilities for mod developers
MOD_META_mod-list_NAME,mod name of mod-list,ModList
MOD_META_mod-list_DESC,mod description of mod-list,Displays your installed mods inside the game and gives you a warning prompt upon starting the game to tell you if a mod failed to load.
MOD_META_morebuttons_NAME,mod name of morebuttons,MoreButtons
MOD_META_morebuttons_DESC,mod description of morebuttons,Overloads your keyboard!
MOD_META_multiplayer-core_NAME,mod name of multiplayer-core,MultiplayerCore
MOD_META_multiplayer-core_DESC,mod description of multiplayer-core,Adds custom songs to Beat Saber Multiplayer.
MOD_META_multiplayer-extensions_NAME,mod name of multiplayer-extensions,MultiplayerExtensions
MOD_META_multiplayer-extensions_DESC,mod description of multiplayer-extensions,"Port of MultiplayerExtensions, the PC mod that adds extra features to multiplayer"
MOD_META_NoodleExtensions_NAME,mod name of NoodleExtensions,NoodleExtensions
MOD_META_NoodleExtensions_DESC,mod description of NoodleExtensions,This adds a host of new things you can do with your maps. Original mod for PC by Aeroluna. Contributions by Fern and Sc2ad.
MOD_META_NoPromo_NAME,mod name of NoPromo,NoPromo
MOD_META_NoPromo_DESC,mod description of NoPromo,Hides the promo banner on the main screen.
MOD_META_Nya_NAME,mod name of Nya,Nya
MOD_META_Nya_DESC,mod description of Nya,Beat Saber mod for displaying nya-tastic images from various anime themed web APIs!
MOD_META_paper2_scotland2_NAME,mod name of paper2_scotland2,Paperlog Scotland2
MOD_META_paper2_scotland2_DESC,mod description of paper2_scotland2,Paperlog Bootstrapper for Scotland2 modloader
MOD_META_particletuner_NAME,mod name of particletuner,ParticleTuner
MOD_META_particletuner_DESC,mod description of particletuner,Lets you tweak individual particle settings! And has rainbow particles!
MOD_META_Play3rdPer_NAME,mod name of Play3rdPer,Third Person Mod
MOD_META_Play3rdPer_DESC,mod description of Play3rdPer,Play in 3rd Person!
MOD_META_playlistcore_NAME,mod name of playlistcore,PlaylistCore
MOD_META_playlistcore_DESC,mod description of playlistcore,Loads playlists and provides lots of functionality to other mods.
MOD_META_playlistdownloader_NAME,mod name of playlistdownloader,PlaylistDownloader
MOD_META_playlistdownloader_DESC,mod description of playlistdownloader,Download playlists from websites directly in game
MOD_META_playlistmanager_NAME,mod name of playlistmanager,PlaylistManager
MOD_META_playlistmanager_DESC,mod description of playlistmanager,Manage all your songs and playlists!
MOD_META_PracticeTweaqs_NAME,mod name of PracticeTweaqs,PracticeTweaqs
MOD_META_PracticeTweaqs_DESC,mod description of PracticeTweaqs,Various improvements to the practice gamemode
MOD_META_qbeatsaberplus-gametweaker_NAME,mod name of qbeatsaberplus-gametweaker,QBeatSaberPlus-GameTweaker
MOD_META_qbeatsaberplus-gametweaker_DESC,mod description of qbeatsaberplus-gametweaker,Feel good!
MOD_META_qbeatsaberplus-menumusic_NAME,mod name of qbeatsaberplus-menumusic,QBeatSaberPlus-MenuMusic
MOD_META_qbeatsaberplus-menumusic_DESC,mod description of qbeatsaberplus-menumusic,Feel good!
MOD_META_qbeatsaberplus-multiplayer_NAME,mod name of qbeatsaberplus-multiplayer,QBeatSaberPlus-Multiplayer
MOD_META_qbeatsaberplus-multiplayer_DESC,mod description of qbeatsaberplus-multiplayer,Feel good!
MOD_META_qbeatsaberplus-notetweaker_NAME,mod name of qbeatsaberplus-notetweaker,QBeatSaberPlus-NoteTweaker
MOD_META_qbeatsaberplus-notetweaker_DESC,mod description of qbeatsaberplus-notetweaker,Feel good!
MOD_META_qounters++_NAME,mod name of qounters++,Qounters++
MOD_META_qounters++_DESC,mod description of qounters++,Add endlessly customizable counters to your ingame UI!
MOD_META_QuestSounds_NAME,mod name of QuestSounds,QuestSounds
MOD_META_QuestSounds_DESC,mod description of QuestSounds,Allows users to change their sfx sounds and in-game music easily!
MOD_META_qustommenu_NAME,mod name of qustommenu,Qustom Menu
MOD_META_qustommenu_DESC,mod description of qustommenu,"Customize the Beat Saber menu, add custom banners and quotes"
MOD_META_RandomSongPicker_NAME,mod name of RandomSongPicker,RandomSongPicker
MOD_META_RandomSongPicker_DESC,mod description of RandomSongPicker,"Adds a button, that picks a random song out of the current list"
MOD_META_RecentlyPlayed_NAME,mod name of RecentlyPlayed,RecentlyPlayed
MOD_META_RecentlyPlayed_DESC,mod description of RecentlyPlayed,Adds a history tab that displays the most recently played maps
MOD_META_redbar_NAME,mod name of redbar,RedBar
MOD_META_redbar_DESC,mod description of redbar,Changes the color of the health bar according to your health
MOD_META_replay_NAME,mod name of replay,Replay
MOD_META_replay_DESC,mod description of replay,Watch back your best scores!
MOD_META_scorepercentage_NAME,mod name of scorepercentage,Score Percentage
MOD_META_scorepercentage_DESC,mod description of scorepercentage,shows extra information after completing a level
MOD_META_simplesabers_NAME,mod name of simplesabers,SimpleSabers
MOD_META_simplesabers_DESC,mod description of simplesabers,Tweak the default saber and trail
MOD_META_slicedetails_NAME,mod name of slicedetails,Slice Details
MOD_META_slicedetails_DESC,mod description of slicedetails,View extra information about your swings
MOD_META_smoothedcontroller_NAME,mod name of smoothedcontroller,Smoothed Controller
MOD_META_smoothedcontroller_DESC,mod description of smoothedcontroller,"Smoothes your Controller position while in menus to make it less shaky, making the UI easier to use, etc."
MOD_META_songchartvisualizer_NAME,mod name of songchartvisualizer,SongChartVisualizer
MOD_META_songchartvisualizer_DESC,mod description of songchartvisualizer,
MOD_META_songcore_NAME,mod name of songcore,SongCore
MOD_META_songcore_DESC,mod description of songcore,"Adds songloading, map requirement handling and related utilities to the game."
MOD_META_songdownloader_NAME,mod name of songdownloader,SongDownloader
MOD_META_songdownloader_DESC,mod description of songdownloader,Download Custom Songs at Runtime
MOD_META_spotify-search_NAME,mod name of spotify-search,Spotify Search
MOD_META_spotify-search_DESC,mod description of spotify-search,Access your Spotify playlists and quickly search for matching custom maps!
MOD_META_too-many-fireworks_NAME,mod name of too-many-fireworks,TooManyFireworks
MOD_META_too-many-fireworks_DESC,mod description of too-many-fireworks,Don't think there's enough fireworks? This mod adds a variety of settings that can make fireworks powerful enough to explode the game itself!
MOD_META_tracks_NAME,mod name of tracks,Tracks
MOD_META_tracks_DESC,mod description of tracks,Animation for Noodle and Chroma. Requires CustomJSONData. Don't delete
MOD_META_transitions_NAME,mod name of transitions,Transitions
MOD_META_transitions_DESC,mod description of transitions,Speed up or remove boring transitions in the game
MOD_META_unicode_NAME,mod name of unicode,Unicode
MOD_META_unicode_DESC,mod description of unicode,"Finally, 𒈙"
